,budget,company,country,director,gross,name,rate,star,voter
1347,,"Cinebruto,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),See more »,",Argentina,José Celestino Campusano,,Vil romance (2008) ,5.1,"Nehuén Zapata,Oscar Génova,Marisa Pájaro,|,See full cast & crew,",187
1348,,"Cinephil,Keshet Broadcasting,Pretty Pictures,See more »,","Israel,France,USA",Sandi Simcha Dubowski,"$619,612,",Trembling Before G-d (2001) ,7.1,"Shlomo Ashkinazy,Steve Greenberg,Nathan Lopes Cardozo,|,See full cast & crew,",863
1349,,,Thailand,Poj Arnon,,Bangkok Love Story (2007) ,5.5,"Rattanaballang Tohssawat,Chaiwat Thongsaeng,Wiradit Srimalai,|,See full cast & crew,","1,299"
1350,,"Regal Films,See more »,",Philippines,Rico Maria Ilarde,,Pridyider (2012) ,4.3,"Andi Eigenmann,Janice de Belen,JM de Guzman,|,See full cast & crew,",109
1351,,"Adesif Productions,Blue Rat Productions,See more »,",USA,Jon Carnoy,,Pee Stains and Other Disasters (2005) ,6.5,"Michael Soll,Steele Justiss,Donald Ogden,|,See full cast & crew,",48
1352,,"BrownBag Productions (II),Tru Loved,See more »,",USA,Stewart Wade,"$9,467,",Tru Loved (2008) ,5.9,"Najarra Townsend,Jake Abel,Matthew Thompson,|,See full cast & crew,",837
1353,"$1,000,000","7A Productions,See more »,",USA,Michael Knowles,,One Night (2007) ,4.1,"Jordan Bayne,Laurence Blum,Kevin Cahoon,|,See full cast & crew,",105
1354,,"New Media Entertainment LLC,See more »,",USA,Damion Dietz,,Love Life (2006) ,5.5,"Keith Bearden,Stephan D. Gill,Ronnie Kerr,|,See full cast & crew,",195
1355,,"Magic Movie,See more »,",Austria,Michael Satzinger,,Das Flüstern des Mondes (2006) ,5.2,"Franz Robert Ceeh,Michael Fernbach,Mischa Fernbach,|,See full cast & crew,",190
1356,,"Millennium Films,Sandstorm Films,TriStar Pictures,See more »,",USA,J.S. Cardone,"$7,394,",Outside Ozona (1998) ,6.3,"Robert Forster,Kevin Pollak,Sherilyn Fenn,|,See full cast & crew,",825
1357,"£15,000",,UK,Eadward Stocks,,Palace of Fun (2016) ,5.4,"Andrew Mullan,Phoebe Naughton,Holly Shuttleworth,|,See full cast & crew,",95
1358,,"Making Film,See more »,",China,Jordan Schiele,,San fu tian (2016) ,7.6,"Lu Huang,Lanshan Luo,Mu Chen Tian,|,See full cast & crew,",57
1359,"€900,000","Highway Productions,Greek Film Center,Lamisalia,See more »,",Greece,Vardis Marinakis,,Mavro livadi (2009) ,5.4,"Sofia Georgovassili,Hristos Passalis,Despina Bebedelli,|,See full cast & crew,",600
1360,,,USA,Don Scardino,,Advice from a Caterpillar (1999) ,5.5,"Patrick Breen,Andy Dick,Alice Drummond,|,See full cast & crew,",287
1361,,"Olive Productions,RadicalMedia,See more »,",USA,,,Check It (2016) ,7.0,,102
1362,,"Bangor Films,See more »,",USA,Todd Verow,,Tumbledown (2013) ,4.1,"Brad Hallowell,Brett Faulkner,Todd Verow,|,See full cast & crew,",160
1363,"BRL 6,400,000","Canto Claro Produções Artísticas,See more »,",Brazil,Antonio Carlos da Fontoura,,Somos Tão Jovens (2013) ,6.5,"Thiago Mendonça,Laila Zaid,Bruno Torres,|,See full cast & crew,","1,758"
1364,,"Filmprodukties de Luwte,See more »,",Netherlands,Paula van der Oest,"$28,397,",Zus & zo (2001) ,6.4,"Sylvia Poorta,Anneke Blok,Monic Hendrickx,|,See full cast & crew,","1,508"
1365,,"CJ Entertainment,Sidus,See more »,",South Korea,In-shik Kim,,Rodeu-mubi (2002) ,6.7,"Jung-min Hwang,Chan Jung,Rin Seo,|,See full cast & crew,",246
1366,,"Havelock Arts,Sunil T. Films,See more »,",Sri Lanka,Visakesa Chandrasekaram,,Frangipani (2014) ,7.4,"Jehan Sri Kanth,Dasun Pathirana,Yasodha Rasanduni,",47
1367,,"Element Twenty Two,Red Headed Revolution Pictures,See more »,",USA,Matt Riddlehoover,,What's the Matter with Gerald? (2016) ,6.2,"Jacob York,Kathy Cash,Jonathan Everett,|,See full cast & crew,",762
